"filename", "language", "Rust", "Markdown", "JSON", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\.sisyphus\boulder.json", "JSON", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\.sisyphus\drafts\wire-export-ui.md", "Markdown", 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\.sisyphus\plans\wire-export-ui.md", "Markdown", 0, 168, 0, 0, 0, 0, 46, 214
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 8, 31
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\build.rs", "Rust", 41, 0, 0, 0, 0, 8, 7, 56
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\audio\audio_decoder.rs", "Rust", 311, 0, 0, 0, 0, 11, 43, 365
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\audio\ffi\avresample.rs", "Rust", 40, 0, 0, 0, 0, 12, 10, 62
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\audio\ffi\mod.rs", "Rust", 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\audio\mod.rs", "Rust", 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\audio\output_stream.rs", "Rust", 60, 0, 0, 0, 0, 5, 13, 78
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\audio\ring_buffer.rs", "Rust", 90, 0, 0, 0, 0, 25, 19, 134
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\colour\delta_e.rs", "Rust", 133, 0, 0, 0, 0, 25, 28, 186
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\colour\lut_parser.rs", "Rust", 162, 0, 0, 0, 0, 16, 29, 207
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\colour\mod.rs", "Rust", 2, 0, 0, 0, 0, 1, 2, 5
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\engine\mod.rs", "Rust", 1, 0, 0, 0, 0, 1, 1, 3
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\engine\playback.rs", "Rust", 145, 0, 0, 0, 0, 6, 18, 169
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\audio_encoder.rs", "Rust", 110, 0, 0, 0, 0, 0, 18, 128
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\engine.rs", "Rust", 175, 0, 0, 0, 0, 6, 23, 204
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\ffi\encoder_ffi.rs", "Rust", 63, 0, 0, 0, 0, 0, 13, 76
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\ffi\mod.rs", "Rust", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\ffi\muxer_ffi.rs", "Rust", 37, 0, 0, 0, 0, 0, 12, 49
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\job.rs", "Rust", 167, 0, 0, 0, 0, 5, 16, 188
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\mod.rs", "Rust", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\muxer.rs", "Rust", 120, 0, 0, 0, 0, 0, 16, 136
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\partitioner.rs", "Rust", 56, 0, 0, 0, 0, 0, 9, 65
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\progress.rs", "Rust", 85, 0, 0, 0, 0, 1, 11, 97
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\queue.rs", "Rust", 27, 0, 0, 0, 0, 2, 8, 37
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\readback.rs", "Rust", 88, 0, 0, 0, 0, 1, 17, 106
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\renderer.rs", "Rust", 110, 0, 0, 0, 0, 0, 20, 130
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\export\video_encoder.rs", "Rust", 296, 0, 0, 0, 0, 34, 45, 375
"c:\Users\bmiko\nexir\.kilo\worktrees\spice-timpani\src\interop\capability.rs", "Rust", 70, 0, 0, 0, 0, 6, 16, 92
